field1,field2,field3
385.4400003,401.7812772,328.3636812
396.2956105,400.181157,325.9400739
403.3529615,391.0548852,318.1454134
406.1615896,380.7777055,313.5602991
404.5250927,363.1553102,309.526185
398.5141583,345.4522424,304.5203179
388.4619149,325.8857845,301.137969
374.9419248,305.1146317,301.1600611
358.7303254,285.8624344,303.5508724
340.7547069,272.2912966,306.5312002
322.0332209,258.2778173,308.0057176
303.6080785,247.6406043,315.5531235
286.4779725,241.9934645,322.8439984
271.5340228,234.6187232,324.53237
259.5035906,236.0078015,333.9881917
250.9057563,234.8171956,334.3771288
246.0214414,242.9056247,336.235865
244.8801357,245.4787831,339.0053949
247.2640436,257.7342802,339.9183986
252.7292507,264.2500009,336.8008003
260.6423408,275.706088,334.2097805
270.2298241,286.7017314,330.3375725
280.6368557,293.2081204,326.9771406
290.9910894,301.4223033,324.9905639
300.4671612,310.195011,321.4258027
308.3472677,317.7178695,318.5851429
314.0735823,318.329261,319.8722745
317.2888319,323.5160945,319.8410947
317.8621888,326.5296957,321.0657548
315.8986632,324.833461,323.7259002
311.7313392,326.0675631,326.0703825
305.8969959,328.1684965,330.6245897
299.0968259,331.970302,333.8140807
292.1450027,336.2106315,330.3156964
285.9087065,344.1161022,330.8101951
281.2438231,356.6660441,329.7918249
278.930836,368.4342027,322.551765
279.6154358,383.2708541,316.7193665
283.7580466,399.5547336,308.4184872
291.5958633,414.8031217,301.4257605
303.1201309,431.1484529,291.5252889
318.0703447,445.390924,284.7994595
335.9458832,460.2227566,278.1984758
356.0343751,471.4649144,275.1013336
377.454944,476.2654668,276.545616
399.2134383,477.6179809,276.6589212
420.2659203,473.2937117,283.0593355
439.586108,463.8008635,295.3655011
456.2321814,450.0810708,309.974874
469.4083976,435.7535765,328.5788028
478.5173101,415.8183945,349.0519733
483.19902,393.172492,374.6179963
483.3547792,377.9270582,401.7881702
479.1533267,365.5361962,432.5540279
471.0195279,353.9344332,462.4235516
459.6060922,341.079784,487.4429305
445.7503062,335.5901029,511.2698023
430.4187384,329.2733512,527.0255538
414.6436966,320.7082984,529.0666363
393.1736219,316.384588,530.5004564
373.2589757,316.7691762,522.5902728
355.7380352,318.1357928,510.3405397
341.2668916,320.5529639,495.3223643
330.2802023,326.1866837,480.3092153
322.9674643,333.1641022,458.0457768
319.2663434,339.1963546,438.3243346
318.8734123,345.5199139,419.1855233
321.2714457,350.9606629,405.2165163
325.7712779,355.4410751,389.7261003
331.5652217,360.9834204,376.7085589
337.7882546,358.8475051,368.2650942
343.582648,356.1390935,361.3300697
348.1614864,356.1270108,359.9639116
350.8666076,353.3468818,354.2311593
351.2168986,351.6559369,350.8442006
348.9435569,348.7246417,347.1292702
344.0098456,348.7870067,346.436001
336.6139582,348.051299,342.1684898
327.1747919,348.2845361,333.257483
316.301625,354.4465752,328.3959652
304.7498262,361.7311837,318.9043187
293.3656993,371.1838445,309.7734883
283.0243355,381.8512885,299.245789
274.5648416,394.8735446,292.7192414
268.7275019,406.2074948,285.2447772
266.0973114,416.4144233,274.2870259
267.0578825,424.3165882,268.3148015
271.7590152,430.3704471,267.2132984
280.1002822,432.9602708,263.178503
291.7318707,431.9078589,266.2292186
306.0727332,424.6824178,267.8909392
322.3448962,414.8606917,273.3899493
339.6216578,397.5509919,278.689744
356.8864368,381.9018427,286.5034585
373.0982932,358.8371639,293.2395395
387.2596696,330.9204383,301.9063888
398.481741,309.8995414,308.6483379
406.0429137,287.8017845,315.946044
409.4364777,271.1045026,321.0613048
408.4041551,255.7617261,324.9206784
402.9532487,243.6434455,325.2780547
393.3562185,235.1547622,325.6773139
380.1327137,227.7758146,322.8595821
364.0152913,225.5569761,318.3405962
345.9011641,225.7052264,314.6067685
326.7932789,230.3752713,310.8486753
307.7347471,238.7015869,305.3892138
289.7411028,245.592876,302.6193432
